yyyymm,Index,E12,PE,D12,Y,vwret_DK,b/m,tbl,AAA,BAA,lty,ntis,Rfree,infl,ltr,corpr,svar,vwret,CRSP_SPvwx
196611,49.47243992744855,2.991292807552003,16.538815525697572,1.6117036869312316,0.032577809,0.017745924,0.57264493,0.0532,0.0535,0.0613,0.048,0.017549637,0.004,0,-0.0148,-0.002,0.000774416,0.011223,0.003741
196612,50.12218200744691,3.020709200205001,16.59285243480086,1.6281124398086364,0.032482872,0.005000729,0.576945106,0.0496,0.0539,0.0618,0.0455,0.01720763,0.004,0,0.0413,0.0201,0.000626942,0.000326,-0.001089
196701,54.37548196129113,3.0300790668978186,17.945235342310887,1.633783635029121,0.030046329266417916,0.085073601,0.533363141,0.0472,0.052,0.0597,0.0448,0.015697522,0.0043,0,0.0154,0.045,0.000733488,0.079215,0.077723
196702,54.784905146483965,3.129246052130473,17.50738172512352,1.643531800547593,0.02999972,0.010931347536671283,0.540047893,0.0456,0.0503,0.0582,0.0465,0.017700931,0.0036,0,-0.0221,-0.0201,0.000412404,0.007514,0.00242
196703,57.06758467496596,3.1273599691161516,18.247846502650695,1.653011695716797,0.02896586,0.043735868,0.549550798,0.0426,0.0513,0.0585,0.0455,0.014921235,0.0039,0.003039514,0.0198,0.0117,0.000501136,0.041137,0.039544
196704,59.48164622776972,3.1123292693480327,19.11161740294589,1.6539023931519885,0.027805255873699142,0.042138266281126976,0.530516694,0.0384,0.0511,0.0583,0.0477,0.015045877,0.0032,0.003030303,-0.0291,-0.0071,0.000837097,0.043371,0.042544
196705,57.00397087259308,3.1311971368997944,18.205168304743932,1.6693923491657328,0.029285544912246796,-0.040143185,0.558201182,0.036,0.0524,0.0596,0.0482,0.011464094,0.0033,0.003021148,-0.0039,-0.0254,0.00089034,-0.04681,-0.052314
196706,58.503058844914534,3.1275349892090545,18.705804746155632,1.6714619871355385,0.028570505886989752,0.026147064324544937,0.553204845,0.0354,0.0544,0.0615,0.0507,0.010152824,0.0027,0.003012048,-0.0312,-0.0223,0.001070733,0.019319,0.018015
196707,61.65641552672863,3.1165746365272677,19.78339129250922,1.673265349125851,0.027138544056303025,0.048919769,0.526298328,0.0421,0.0558,0.0626,0.0505,0.006687004,0.0031,0.003003003,0.0068,0.0041,0.000218447,0.046454,0.045623
196708,61.071444286308626,3.1241032180325647,19.548472001116846,1.6813218929655773,0.027530409876723786,-0.005793377,0.528020948,0.0427,0.0562,0.0633,0.0514,0.005841315,0.0031,0.002994012,-0.0084,-0.0007,0.000296618,-0.006824,-0.012197
196709,63.16666911306338,3.1355099541148945,20.145580794653974,1.6801820714456557,0.026599187435991944,0.034027127,0.513564846,0.0442,0.0565,0.064,0.0517,0.005599816,0.0032,0.002985075,-0.0004,0.0094,0.000358544,0.033815,0.032597
196710,61.43128070772106,3.1403258878224434,19.562071868381334,1.6827549654831158,0.027392477,-0.027131584,0.540955282,0.0456,0.0582,0.0652,0.0549,0.003715221,0.0039,0.002976191,-0.04,-0.0281,0.000444903,-0.027448,-0.028701
196711,61.60691067622062,3.1809906262135197,19.36720912301278,1.6860127756142311,0.027367267033972662,0.007253772,0.543382697,0.0473,0.0607,0.0672,0.0567,0.002772998,0.0036,0.002967359,-0.0196,-0.0272,0.000954783,0.006435,0.000533
